appeal_district,trial_district,offence,sentence,no_complainant,no_male_complainant,no_female_complainant,no_appealant,no_male_appealant,no_female_appealant,no_public_witness,no_eye_witness,no_defense_witness,scn_decision
North-West,North-West,Murder_manslaughter,Death,0,2,0,1,1,0,1,0,0,Dismissed
South-East,South-East,Human_rights_violation,Payment_damages,1,1,0,2,1,0,0,0,0,Dismissed
South-East,South-East,Others,Death,0,0,0,6,6,0,0,0,0,Dismissed
North-Central,North-Central,Others,,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Dispute,Appeal_granted,2,0,0,2,0,0,0,3,0,Dismissed
South-South,,Dispute,Payment_damages,1,1,0,1,0,1,0,0,0,Dismissed
FCT,FCT,Civil_petition,,3,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,Death,0,0,0,1,1,0,0,0,0,Dismissed
North-Central,,Dispute,Prison_term,0,0,0,1,1,0,0,0,1,Dismissed
South-South,,Civil_petition,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Fraud_impersonation,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,Prison_term,0,0,0,6,0,0,0,0,0,Dismissed
South-South,South-South,Others,,0,0,0,0,0,0,0,0,0,Granted
South-South,,Election_petition,,3,3,0,0,0,0,0,0,0,Granted
South-South,,Election_petition,,4,4,0,0,0,0,0,0,0,Granted
South-South,South-South,Others,Appeal_granted,1,0,0,1,0,0,0,0,0,Granted
FCT,FCT,Others,,1,0,0,1,0,0,0,0,0,Granted
North-Central,FCT,Civil_petition,Appeal_granted,14,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Others,,0,0,0,1,0,0,0,0,0,Granted
South-East,,Election_petition,,3,0,0,0,0,0,0,0,0,Granted
North-West,,Election_petition,,2,2,0,0,0,0,0,8,0,Dismissed
South-South,South-South,Dispute,,1,1,0,2,1,1,0,0,0,Dismissed
South-West,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Others,,4,0,0,1,0,0,0,0,0,Dismissed
North-West,North-West,Civil_petition,Payment_damages,1,0,1,1,0,1,0,0,0,Granted
South-West,South-West,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Others,,0,0,0,1,0,0,0,0,0,Dismissed
South-East,,Others,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Dispute,Payment_damages,5,0,0,0,0,0,0,0,0,Granted
North-Central,North-Central,Dispute,,1,1,0,1,0,0,0,0,0,Dismissed
South-South,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-East,Theft,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Others,,0,0,0,0,0,0,0,0,0,Granted
North-East,North-Central,Murder_manslaughter,Death,0,0,0,1,1,0,0,3,0,Granted
North-West,,Rape_sexual_abuse,,1,0,1,1,1,0,0,0,0,Dismissed
South-South,,Dispute,,1,1,0,1,1,0,0,1,0,Dismissed
North-West,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,6,0,0,0,0,0,Dismissed
South-South,,Unlawful_termination_appointment,,1,0,0,1,1,0,0,0,0,Dismissed
North-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,Others,1,1,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Dispute,,0,0,0,2,2,0,4,0,1,Dismissed
South-West,,Armed_robbery,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Unlawful_termination_appointment,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Armed_robbery,,0,0,0,3,3,1,0,1,0,Dismissed
South-South,South-South,Dispute,,3,0,0,1,1,0,0,0,0,Dismissed
South-East,,Dispute,,1,0,0,1,1,0,0,0,0,Granted
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-East,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Civil_petition,,3,0,0,1,0,0,0,0,0,Granted
South-South,,Libel,,1,0,0,1,0,0,0,0,0,Dismissed
North-West,North-West,Others,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Armed_robbery,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Dispute,Death,2,0,0,0,0,0,0,0,0,Dismissed
South-South,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-South,,Dispute,,1,0,0,1,0,1,0,0,0,Dismissed
South-South,,Dispute,,3,0,0,1,0,0,0,0,0,Granted
North-West,,Fraud_impersonation,,1,0,0,1,0,0,0,0,0,Dismissed
FCT,,Civil_petition,,3,0,0,1,0,0,0,0,0,Dismissed
North-West,,Others,,0,0,0,1,0,0,0,0,0,Granted
FCT,North-Central,Armed_robbery,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Others,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Civil_petition,,2,0,0,2,0,0,0,0,0,Dismissed
South-West,,Law_of_tort,,3,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,,Murder_manslaughter,,0,0,0,1,1,0,0,0,0,Granted
South-South,South-South,Dispute,Death,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Theft,,24,0,0,0,0,0,0,0,0,Dismissed
South-South,,Dispute,,5,0,0,1,0,0,0,0,0,Dismissed
South-South,South-West,Others,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,7,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,,3,0,0,2,0,0,0,0,0,Granted
South-East,South-South,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Claim_for_recovery,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Others,,1,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Armed_robbery,Death,0,0,0,1,1,0,0,0,0,Granted
North-Central,North-Central,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Others,,1,0,1,1,0,0,0,0,0,Dismissed
South-South,,Dispute,,1,0,0,4,0,0,0,1,0,Granted
North-West,,Murder_manslaughter,Death,1,1,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,2,0,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
North-West,North-Central,Dispute,Death,0,0,0,1,1,0,9,0,1,Granted
North-West,North-West,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,Death,0,0,0,1,1,0,0,0,0,Granted
South-South,,Unlawful_termination_appointment,,0,0,0,1,0,0,0,0,0,Dismissed
South-East,South-South,Dispute,,0,0,0,2,0,0,0,0,0,Dismissed
FCT,,Dispute,,3,0,0,1,1,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,6,0,0,Dismissed
South-South,South-East,Murder_manslaughter,Death,0,0,0,1,1,0,4,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
North-West,,Theft,,1,0,0,1,0,0,0,0,0,Granted
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-West,,Unlawful_possession,Prison_term,0,0,0,4,4,0,0,0,0,Dismissed
North-Central,,Human_rights_violation,,1,0,0,1,0,0,0,0,0,Granted
South-West,,Civil_petition,,1,0,0,15,0,0,0,0,0,Dismissed
North-East,,Election_petition,,2,0,0,2,0,0,0,0,0,Dismissed
South-West,,Others,,1,0,0,2,0,0,0,0,0,Granted
North-Central,,Dispute,,3,0,0,3,0,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,1,5,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,2,2,0,0,0,0,Dismissed
South-South,,Armed_robbery,Death,1,0,1,2,2,0,0,0,0,Dismissed
South-East,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_possession,,0,0,0,1,1,0,2,0,0,Dismissed
North-East,North-East,Court_order_violation,,2,0,0,2,0,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,,Civil_petition,,1,0,0,6,0,0,0,0,0,Dismissed
South-West,,Rape_sexual_abuse,,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Others,,1,0,0,4,0,0,0,0,0,Granted
South-West,South-West,Dispute,,1,1,0,2,0,0,0,0,0,Dismissed
North-Central,North-East,Dispute,,1,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,1,1,0,5,0,4,Dismissed
South-West,South-West,Trespassing,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,,2,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Unlawful_possession,,0,0,0,1,1,0,0,0,0,Dismissed
North-West,South-West,Dispute,Death,0,0,0,1,1,0,0,0,0,Granted
North-West,North-West,Dispute,,1,0,0,1,0,0,0,0,0,Granted
FCT,FCT,Civil_petition,,2,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,,Murder_manslaughter,Death,0,0,0,1,0,0,0,0,0,Granted
North-Central,North-East,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Human_rights_violation,,1,0,0,1,0,0,0,0,0,Granted
North-Central,North-Central,Dispute,Death,0,0,0,1,0,0,0,0,0,Dismissed
South-West,,Fraud_impersonation,,1,0,0,1,0,0,0,0,0,Dismissed
North-West,,Civil_petition,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Civil_petition,,4,0,0,1,0,0,0,0,0,Granted
South-West,,Dispute,Payment_damages,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
FCT,,Civil_petition,,3,0,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Civil_petition,,6,0,0,1,0,0,0,0,0,Dismissed
North-West,North-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
North-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,,Dispute,Prison_term,0,0,0,1,1,0,3,0,1,Dismissed
South-West,South-West,Civil_petition,,1,0,0,11,0,0,0,0,0,Granted
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
FCT,FCT,Civil_petition,,2,0,0,1,0,0,0,0,0,Dismissed
North-West,,Civil_petition,,1,1,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Theft,,1,1,0,6,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,,0,0,0,3,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
North-Central,,Election_petition,,4,0,0,1,0,0,0,0,0,Dismissed
FCT,North-Central,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Civil_petition,,1,0,0,0,0,0,0,0,0,Granted
South-South,,Civil_petition,,1,0,0,0,0,0,0,0,0,Dismissed
North-West,,Law_of_tort,Payment_damages,1,1,0,1,1,0,0,0,0,Dismissed
North-Central,North-Central,Civil_petition,,4,0,0,15,0,0,0,0,0,Granted
North-West,North-West,Dispute,Prison_term_fine,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Armed_robbery,Death,1,1,0,3,3,0,0,1,0,Dismissed
South-West,South-West,Others,,0,0,0,1,0,0,0,0,0,Granted
South-South,South-East,Dispute,,1,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-West,,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Death,0,0,0,2,0,0,0,0,0,Dismissed
FCT,FCT,Election_petition,,0,0,0,0,0,0,0,0,0,Granted
North-Central,,Dispute,,1,1,0,1,1,0,0,0,0,Dismissed
FCT,FCT,Others,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Dispute,Prison_term,0,0,0,3,0,0,0,0,0,Dismissed
North-Central,,Civil_petition,,2,0,0,3,0,0,0,0,0,Granted
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,0,0,0,1,0,1,3,0,0,Dismissed
South-West,South-West,Dispute,,1,1,0,1,1,0,0,0,0,Dismissed
South-East,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Dispute,,2,0,0,1,0,0,0,0,0,Dismissed
South-South,,Murder_manslaughter,Death,0,0,0,2,0,0,0,0,0,Granted
South-South,South-South,Dispute,,1,0,0,4,0,0,0,0,0,Dismissed
South-East,South-East,Murder_manslaughter,Death,0,0,0,2,0,0,6,0,5,Granted
South-West,South-West,Others,Others,1,0,0,1,0,1,0,0,0,Granted
South-West,South-West,Others,,1,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,,Dispute,,1,1,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Others,,1,1,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Claim_for_recovery,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Dispute,,1,0,0,0,0,0,0,8,0,Dismissed
South-South,South-East,Others,,1,0,0,1,0,0,0,0,0,Dismissed
North-West,,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
FCT,North-Central,Murder_manslaughter,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,7,0,0,4,0,0,0,0,0,Dismissed
North-Central,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Theft,Payment_damages,0,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
North-West,North-West,Fraud_impersonation,,1,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Dispute,Prison_term_fine,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Dispute,,1,0,0,0,0,0,0,0,0,Granted
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Others,,18,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,4,0,0,1,0,0,0,0,0,Granted
South-South,South-West,Murder_manslaughter,Death,0,0,0,9,0,0,0,0,0,Granted
North-Central,,Dispute,Death,0,0,0,1,1,0,0,0,0,Granted
North-Central,North-Central,Dispute,Prison_term,0,0,0,1,1,0,0,0,0,Dismissed
North-West,North-West,Others,Prison_term_hard_labour,1,0,0,1,1,0,0,0,0,Granted
South-West,South-West,Others,,0,0,0,0,0,0,0,0,0,Dismissed
North-West,North-West,Armed_robbery,Death,0,0,0,0,0,0,0,0,0,Dismissed
South-South,,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Granted
North-East,,Dispute,,0,0,0,3,0,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,Death,0,0,0,2,2,0,0,0,0,Dismissed
South-West,South-West,Armed_robbery,,3,0,0,2,0,0,0,0,0,Dismissed
South-West,,Armed_robbery,Death,0,0,0,3,0,0,0,0,0,Dismissed
North-West,North-West,Dispute,Death,0,0,0,1,1,0,6,0,0,Dismissed
North-West,North-West,Others,Prison_term,1,0,1,1,1,0,5,0,3,Dismissed
North-Central,,Armed_robbery,,1,0,0,4,0,0,8,0,0,Dismissed
South-East,South-East,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Law_of_tort,Payment_damages,1,0,0,1,1,0,0,0,0,Granted
FCT,FCT,Conspiracy,,0,0,0,2,2,0,0,0,0,Dismissed
South-West,South-West,Human_rights_violation,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Theft,,0,0,0,0,0,0,0,0,0,Granted
North-West,South-West,Dispute,,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Fraud_impersonation,,1,1,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Civil_petition,,0,0,0,10,0,0,0,0,0,Granted
South-East,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Theft,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Theft,,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-East,Dispute,,0,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Election_petition,,4,0,0,0,0,0,0,0,0,Granted
South-South,South-South,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-West,,Dispute,,1,0,1,1,1,0,0,1,0,Dismissed
North-Central,North-East,Dispute,,3,0,0,0,0,0,0,0,0,Dismissed
FCT,FCT,Armed_robbery,Death,0,0,0,0,0,0,0,0,0,Dismissed
North-West,,Dispute,Prison_term,1,0,1,0,0,0,0,1,0,Dismissed
North-West,,Dispute,,0,0,0,1,0,1,0,0,0,Granted
North-West,,Dispute,Prison_term,1,0,1,1,1,0,0,0,0,Dismissed
North-West,North-West,Dispute,,1,0,0,1,1,0,0,6,0,Dismissed
FCT,North-Central,Dispute,,1,1,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Others,,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Dispute,,1,0,1,0,0,0,0,0,0,Granted
South-South,South-South,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Fraud_impersonation,,1,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Dispute,,2,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Prison_term,1,0,0,6,0,0,0,0,0,Granted
North-West,,Dispute,Death,0,0,0,0,0,0,0,0,2,Granted
South-South,South-South,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,South-South,Dispute,,1,0,0,1,0,0,0,0,0,Granted
North-West,,Murder_manslaughter,,0,0,0,1,1,0,0,0,0,Granted
South-South,,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,,0,0,0,1,1,0,11,0,0,Dismissed
North-West,North-West,Others,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,Death,0,0,0,1,1,0,0,0,0,Dismissed
FCT,,Dispute,,3,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Claim_for_recovery,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,2,0,0,0,0,0,Dismissed
North-West,,Others,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,2,0,0,0,0,0,Granted
South-West,South-West,Dispute,,1,0,0,4,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Others,,0,0,0,2,0,0,0,0,0,Dismissed
North-West,North-West,Rape_sexual_abuse,,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Dispute,,1,0,0,2,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,4,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,Death,0,0,0,1,1,0,0,0,0,Granted
South-South,,Dispute,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,South-South,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-East,,Dispute,,1,0,0,4,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,,0,0,0,4,0,0,5,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,10,0,0,Dismissed
South-South,,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,,Murder_manslaughter,Death,0,0,0,1,1,0,2,0,0,Dismissed
South-East,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-South,Unlawful_possession,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Civil_petition,,3,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,2,0,0,0,0,0,0,0,0,Granted
South-West,,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Unlawful_termination_appointment,,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Law_of_tort,Payment_damages,1,0,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Dispute,Payment_damages,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,1,0,2,0,0,0,0,0,Granted
South-South,,Dispute,,0,0,0,1,0,0,0,0,0,Granted
South-West,South-West,Unlawful_termination_appointment,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,,Dispute,Prison_term,3,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,2,2,0,0,0,0,Granted
South-West,South-West,Others,,1,0,0,1,0,0,0,0,0,Granted
FCT,FCT,Fraud_impersonation,Prison_term,1,0,0,1,0,0,0,1,0,Dismissed
North-West,North-West,Dispute,,1,1,0,1,1,0,4,0,0,Dismissed
FCT,FCT,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,,Others,,1,0,0,2,0,0,0,0,0,Granted
South-West,South-West,Claim_for_recovery,,0,0,0,0,0,0,0,0,0,Granted
South-West,South-West,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
North-West,,Unlawful_possession,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,1,0,1,0,0,0,Dismissed
South-West,South-West,Others,,2,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,0,0,0,0,1,0,Dismissed
South-West,South-West,Others,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,,Murder_manslaughter,,0,0,0,1,1,0,3,0,0,Dismissed
South-South,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
North-Central,North-Central,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Granted
South-South,South-East,Dispute,,0,0,0,2,1,1,0,0,0,Granted
South-East,South-East,Murder_manslaughter,,0,0,0,1,0,1,0,0,0,Dismissed
South-East,,Dispute,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-South,,Dispute,Death,1,0,0,1,1,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Civil_petition,,1,0,0,0,0,0,0,0,0,Granted
South-East,,Others,,0,0,0,0,0,0,0,0,0,Dismissed
North-West,,Human_rights_violation,,1,1,0,1,1,0,0,0,0,Dismissed
South-East,,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,3,0,0,1,0,0,0,0,0,Dismissed
FCT,FCT,Others,,0,0,0,0,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,2,0,0,1,0,0,0,0,0,Dismissed
South-East,,Civil_petition,,3,0,0,3,0,0,0,0,0,Granted
North-Central,North-Central,Dispute,,6,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,0,1,0,0,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,0,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Theft,,1,0,0,1,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,0,0,0,0,0,0,0,0,0,Dismissed
South-South,South-South,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,1,0,0,0,0,0,0,0,0,Granted
South-West,,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-South,South-South,Murder_manslaughter,Death,1,0,1,1,1,0,0,1,0,Granted
North-West,,Unlawful_possession,,2,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Dispute,,6,0,0,6,0,0,0,0,0,Dismissed
South-East,South-East,Dispute,,1,0,0,1,0,0,0,0,0,Dismissed
South-West,South-West,Murder_manslaughter,Death,0,0,0,1,1,0,0,0,0,Dismissed
South-East,,Dispute,,1,0,0,0,0,0,0,0,0,Dismissed
